STATION,NAME,DATE,TAVG,TMAX,TMIN,PRCP,SNOW,CITY_x,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_SFC_SW_DIFF,CITY_y
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-21,65.0,66.0,60.0,0.0,,Phoenix,1.63,6.41,1.24,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-22,60.0,65.0,52.0,0.02,,Phoenix,5.0,6.8,2.33,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-23,57.0,70.0,48.0,0.0,,Phoenix,6.31,6.83,1.19,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-24,60.0,70.0,53.0,0.0,,Phoenix,6.9,6.91,0.8,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-25,59.0,71.0,48.0,0.0,,Phoenix,6.65,6.91,1.05,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-26,60.0,72.0,50.0,0.0,,Phoenix,7.08,7.11,0.88,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-27,61.0,73.0,49.0,0.0,,Phoenix,7.04,7.23,1.12,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-28,63.0,81.0,51.0,0.0,,Phoenix,7.09,7.18,1.1,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-29,67.0,82.0,51.0,0.0,,Phoenix,7.14,7.31,1.34,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-30,65.0,66.0,56.0,0.0,,Phoenix,5.74,7.17,1.91,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-03-31,59.0,70.0,48.0,0.0,,Phoenix,7.19,7.31,1.19,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-01,55.0,66.0,49.0,0.0,,Phoenix,7.02,7.33,1.3,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-02,61.0,76.0,46.0,0.0,,Phoenix,7.45,7.43,0.7,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-03,55.0,70.0,45.0,0.0,,Phoenix,7.44,7.42,0.69,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-04,59.0,65.0,47.0,0.0,,Phoenix,7.85,7.87,0.62,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-05,75.0,83.0,64.0,0.0,,Phoenix,7.59,7.61,0.82,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-06,91.0,105.0,77.0,0.0,0.0,Phoenix,6.71,7.61,3.31,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-07,102.0,113.0,89.0,0.0,,Phoenix,6.85,7.62,2.88,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-08,101.0,115.0,87.0,0.0,,Phoenix,7.03,7.51,2.1,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-09,93.0,105.0,86.0,0.0,,Phoenix,7.55,7.55,0.77,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-10,80.0,95.0,68.0,0.0,0.0,Phoenix,7.47,7.46,0.84,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-11,73.0,89.0,61.0,0.0,0.0,Phoenix,7.64,7.63,0.84,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-12,58.0,69.0,48.0,0.0,0.0,Phoenix,5.62,7.73,3.73,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-13,76.0,83.0,64.0,0.0,,Phoenix,5.94,7.66,3.12,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-14,69.0,79.0,58.0,0.0,,Phoenix,7.82,7.81,0.79,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-15,71.0,86.0,59.0,0.0,,Phoenix,7.68,7.74,1.01,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-16,75.0,90.0,61.0,0.0,,Phoenix,7.76,7.91,1.24,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-17,78.0,92.0,64.0,0.0,,Phoenix,7.94,7.92,0.74,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-18,77.0,88.0,63.0,0.0,,Phoenix,7.35,7.92,2.7,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-19,75.0,83.0,64.0,0.0,,Phoenix,7.96,8.14,1.25,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-20,71.0,86.0,59.0,0.0,,Phoenix,8.13,8.16,0.81,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-21,75.0,90.0,61.0,0.0,,Phoenix,8.08,8.1,0.81,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-22,79.0,94.0,62.0,0.0,,Phoenix,7.47,7.8,1.81,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-23,81.0,96.0,66.0,0.0,,Phoenix,7.63,7.84,1.31,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-24,81.0,92.0,68.0,0.0,,Phoenix,7.25,8.04,2.66,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-25,80.0,92.0,65.0,0.0,,Phoenix,7.89,7.91,1.11,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-26,79.0,90.0,63.0,0.0,,Phoenix,8.24,8.25,0.8,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-27,79.0,96.0,66.0,0.0,,Phoenix,8.09,8.17,1.11,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-28,83.0,98.0,67.0,0.0,,Phoenix,8.11,8.12,0.95,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-29,87.0,99.0,71.0,0.0,,Phoenix,8.29,8.3,0.71,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-04-30,86.0,102.0,70.0,0.0,,Phoenix,7.57,8.26,2.65,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-01,56.0,64.0,49.0,0.0,,Phoenix,7.95,8.11,1.54,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-02,60.0,75.0,47.0,0.0,,Phoenix,8.07,8.39,1.8,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-03,59.0,72.0,47.0,0.0,,Phoenix,8.11,8.19,1.37,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-04,56.0,69.0,46.0,0.0,,Phoenix,8.4,8.45,1.06,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-05,71.0,82.0,61.0,0.0,,Phoenix,8.32,8.37,0.88,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-06,92.0,107.0,78.0,0.0,0.0,Phoenix,8.4,8.45,0.85,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-07,101.0,111.0,89.0,0.0,,Phoenix,8.19,8.5,1.68,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-08,104.0,116.0,90.0,0.0,,Phoenix,8.53,8.55,0.79,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-09,91.0,105.0,78.0,0.0,,Phoenix,8.54,8.56,0.86,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-10,84.0,100.0,70.0,0.0,0.0,Phoenix,8.01,8.53,1.21,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-11,75.0,93.0,61.0,0.0,0.0,Phoenix,8.36,8.39,1.04,Phoenix
USW00023183,"PHOENIX AIRPORT, AZ US",2023-05-12,62.0,82.0,50.0,0.0,0.0,Phoenix,8.33,8.38,0.98,Phoenix
